Id,DayOfExperiment,ExperimentDates,StartMeasureTime,EndMeasureTime,MeasureInSeconds,2MinutesMeanEDA,ValidMeanEDA,AverageHeartRate,StartHeartRate,EndHeartRate
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.442051490147907,28.530088195800783,,95.0,96.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,20.009573475007087,29.58572989819097,,78.0,86.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.20596730041504,29.13995368881981,,107.0,98.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.717517693837483,29.418901774348043,80.0,75.0,83.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.23675042788188,28.29239982604981,,104.0,88.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.24101265271505,28.56960121466189,88.0,90.0,89.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,23.38931628417969,29.228091833326552,81.0,77.0,84.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.40119744936625,29.040876349624323,95.0,97.0,95.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.67228523890177,28.83991198637048,,119.0,93.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,20.24049949645996,29.52600336074829,83.0,81.0,88.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.912922175725303,29.11323063643937,88.0,94.0,87.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.60051420529684,28.729639496466127,92.0,96.0,91.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.602161741256715,29.03424298632276,102.0,104.0,107.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,25.10325886408488,29.29698751449585,85.0,95.0,83.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.562402757008872,28.66882886591646,91.0,93.0,89.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.69660339355469,28.81954755783081,89.0,94.0,87.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.181809759140016,29.06530606377985,83.0,88.0,84.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.905446815490723,29.06589624404907,88.0,91.0,88.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,22.10033019736961,29.29784154410314,87.0,92.0,84.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.85796400705973,29.30707367099061,78.0,81.0,77.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.11618196105957,29.3132113427231,80.0,82.0,79.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.360588709513348,28.44161590576172,97.0,105.0,97.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.673377110407905,29.475294922337387,74.0,74.0,72.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.885400374730427,29.08374774456024,92.0,85.0,94.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.67523889541626,29.11029669109144,85.0,87.0,87.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,16.89421246119908,29.617069346930396,83.0,82.0,82.0
sub_009,13.0,2022-06-04,2022-06-05 01:05:37,2022-06-05 01:07:38,120000.0,24.47158122062683,28.58940016363085,89.0,89.0,92.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.27200517654419,28.31667809052901,77.0,86.0,73.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.135262521107997,28.2042762520387,62.0,57.0,66.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.65114606221517,28.783284912109377,69.0,71.0,69.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.614004468917848,28.735759125542398,87.0,109.0,83.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.42015570004781,28.879580974578857,81.0,80.0,80.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.8893327554067,29.060601921081545,90.0,88.0,85.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.70514195760091,28.86035580105252,,90.0,78.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.864569107055665,30.24545612335205,,62.0,68.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.26734213829041,28.325135189553965,,78.0,74.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.451531021118164,29.731883636628737,,72.0,72.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.322061491012573,28.68756861967199,,87.0,79.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,22.750129501907917,29.916625153390985,,77.0,79.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.394397689819336,29.099062724989288,,88.0,83.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,21.955576528821677,30.23951096785696,,67.0,76.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.31852865219116,28.952833674170755,,74.0,78.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,25.211719369888307,29.463410753192324,,90.0,81.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.862676827112832,29.346102629767525,,93.0,109.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,23.175169710012582,29.60831676059299,,68.0,70.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,22.303234284012404,29.288570307721997,,78.0,80.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,21.54685375072338,28.5757207675856,,68.0,72.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.36413054466248,28.434341163635253,,69.0,77.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,16.452975845336915,27.29306093851725,73.0,73.0,73.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.445267105102538,29.439032394107027,,76.0,74.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.83935109774272,29.310463507970173,,79.0,80.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,25.29444686889649,29.674588156218576,,78.0,77.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.467028869628905,29.73585950266017,,63.0,67.0
sub_026,11.0,2022-08-14,2022-08-14 16:42:38,2022-08-14 16:44:39,120000.0,24.49664470354716,28.60288575682977,74.0,73.0,75.0
